FROM_DATE,TO_DATE,EMITEN,TOTAL_BUY,TOTAL_SELL,NET_FLOW,TOP_BUYER_1,TOP_BUYER_2,TOP_BUYER_3,TOP_SELLER_1,TOP_SELLER_2,TOP_SELLER_3,BUYER_CONCENTRATION,SELLER_CONCENTRATION,BROKER_ACCDIST,AVG_ACCDIST,AVG_AMOUNT,AVG_PERCENT,TOP3_ACCDIST,TOP3_AMOUNT,TOP3_PERCENT,TOTAL_BUYER_COUNT,TOTAL_SELLER_COUNT,TOTAL_VALUE,TOTAL_VOLUME,TASK_KEY
2026-08-07,2026-08-07,BNBR,87135590500,139591149200,-52455558700,CP,YU,AO,AK,MG,PC,0.6263776143228179,0.2769492558916478,Acc,Normal Acc,5357927400,14.45685,Normal Acc,4956910000,13.374818,28,39,37061513000,3478851,BNBR|2026-08-07
2026-08-07,2026-08-07,CDIA,33161284000,20493766500,12667517500,YU,OD,XL,AK,CP,CC,0.3856172004678709,0.6613301903288495,Dist,Big Dist,-3139185700,-33.848785,Big Dist,-3499767300,-37.736816,32,21,9274146000,130798,CDIA|2026-08-07
2026-08-07,2026-08-07,ENRG,44170785500,38075292000,6095493500,XL,LG,MG,CC,AK,IF,0.5144079903220196,0.7767974569965215,Dist,Big Dist,-6513946600,-27.883677,Big Dist,-7009690000,-30.005762,38,11,23361147000,177046,ENRG|2026-08-07
