FROM_DATE,TO_DATE,EMITEN,TOTAL_BUY,TOTAL_SELL,NET_FLOW,TOP_BUYER_1,TOP_BUYER_2,TOP_BUYER_3,TOP_SELLER_1,TOP_SELLER_2,TOP_SELLER_3,BUYER_CONCENTRATION,SELLER_CONCENTRATION,BROKER_ACCDIST,AVG_ACCDIST,AVG_AMOUNT,AVG_PERCENT,TOP3_ACCDIST,TOP3_AMOUNT,TOP3_PERCENT,TOTAL_BUYER_COUNT,TOTAL_SELLER_COUNT,TOTAL_VALUE,TOTAL_VOLUME,TASK_KEY
2026-08-10,2026-08-10,BNBR,131062439900,133450140200,-2387700300,LG,CC,YP,MG,IH,AI,0.3747415494284568,0.2409910326943216,Dist,Big Dist,-10584065000,-24.14306,Big Dist,-10903316000,-24.871296,41,26,43838956000,4049801,BNBR|2026-08-10
2026-08-10,2026-08-10,CDIA,21406343000,29061899000,-7655556000,CC,XC,ZP,AK,NI,XL,0.5565709425472627,0.6688124027958393,Dist,Normal Acc,1464635000,13.932053,Normal Acc,1762577700,16.766172,32,24,10512701000,150243,CDIA|2026-08-10
2026-08-10,2026-08-10,ENRG,78709677000,48495555000,30214122000,AK,LG,XL,CC,AZ,IF,0.5130184754791968,0.6013045937921527,Dist,Big Dist,-7478840000,-27.579483,Big Dist,-7370833400,-27.181192,35,23,27117402000,207570,ENRG|2026-08-10
