FROM_DATE,TO_DATE,EMITEN,TOTAL_BUY,TOTAL_SELL,NET_FLOW,TOP_BUYER_1,TOP_BUYER_2,TOP_BUYER_3,TOP_SELLER_1,TOP_SELLER_2,TOP_SELLER_3,BUYER_CONCENTRATION,SELLER_CONCENTRATION,BROKER_ACCDIST,AVG_ACCDIST,AVG_AMOUNT,AVG_PERCENT,TOP3_ACCDIST,TOP3_AMOUNT,TOP3_PERCENT,TOTAL_BUYER_COUNT,TOTAL_SELLER_COUNT,TOTAL_VALUE,TOTAL_VOLUME,TASK_KEY
2026-08-06,2026-08-06,BNBR,428509110600,478285714400,-49776603800,CP,PD,MG,XL,CC,XC,0.6212957937515553,0.6035782060983087,Acc,Neutral,-1547482400,-2.3517296,Neutral,-1411781900,-2.145504,34,40,65801880000,6258483,BNBR|2026-08-06
2026-08-06,2026-08-06,ENRG,70403908000,48994879500,21409028500,XL,OD,ZP,AK,BB,CC,0.5847986378824311,0.6286908410500326,Dist,Small Dist,-3088205300,-10.272904,Small Dist,-3071902000,-10.218672,38,21,30061656000,226184,ENRG|2026-08-06
